row,2cb,2ce,2ci,2ct2,2ct7,5meo_amt,5meo_dipt,5meo_dmt,alcohol
Addiction & Habituation,11.7907755733,8.6702029794,23.4069907186,5.0822382432,12.0290706665,1.1013044555,14.5488054138,9.9030547253,7.3094372619
Bad Trips,3.9048662089,2.4156607118,6.6650372166,1.7040032348,0.0221343161,0.6320569106,2.876818687,0.6773243007,0.0006102051
Combinations,48.2207958765,3.7913645453,8.5320849261,11.3810108986,6.8413345145,0.0438827113,31.1222567785,3.6984612371,415.9795047658
Difficult Experiences,0.6892505281,2.9834203991,1.2771903733,2.4806803378,20.8075159948,5.9632857157,0.4285568098,10.0374271437,0.7530262603
First Times,2.7875422442,0.8158852735,17.2113429997,2.5000609861,0.3337955236,0.1071368706,0.3472833712,1.6121847249,6.5582365965
General,0.1173143497,2.1571214882,0.8896940718,0.5283083055,1.0469257342,0.1941333704,0.0027710967,0.4437505089,10.7676839726
Glowing Experiences,12.3837526445,11.3617103924,88.1336041353,5.6961783722,4.2191596185,2.9935591632,1.4781190665,0.0015767201,2.8278611186
Mystical Experiences,0.1742247208,0.010782746,1.1870957405,4.1762235103,1.7671342786,5.3388941034,6.2976347046,32.6973173619,16.1582987699
Post-Trip Problems,0.916290603,5.1049036403,3.3088750007,2.339303916,1.005782962,0.4414547388,4.2077931769,0.8378132008,0.4706284012
Train Wrecks & Trip Disasters,0.0644451971,0.5315387476,0.3389465296,0.7352259681,5.7543872524,0.3634093942,0.8096692292,0.0353962061,45.3191330559
